Podcast,Speaker,Turn,KeyPoints,Assumptions
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"by a man who has been extremely busy the last eight to ten weeks with the coronavirus shutdown and all of Utah student-athletes being sent home and coaches and staff working remotely, a challenging time for all of us. But Jonathan Ravarina, who is Utah Athletics Director of Psychology and Wellness is joining us. And Jonathan, I'm having you on for a couple reasons. One, I want to bring some light to what it is you and your staff do, but it's also mental health awareness and what the man thought that'd be a great time. And just with everything going on, I thought there's a lot of topics we can hit on that kind of get us away from sports and kind of the feel-good stories. But maybe this show could be more of a self-help show. So, Jon, thanks for joining us. Yeah,",Challenges of the coronavirus shutdown and remote work for Utah student-athletes and staff; Mental health awareness and the role of psychology/wellness in athletics; Proposal to shift the show from sports-focused stories to self-help and mental health topics,Audience interest in mental health and self-help content; Guest's expertise in psychology and wellness in sports contexts; Ability to transition the show's focus from sports to broader personal development themes
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,". Well, let's first of all, again, to your background a little bit. You joined the U.F. Vice Department in 2015 as the Director of Psychology and Wellness. And since then, I'm not surprised that they realize your role would be so valuable and needed that the area has grown. And now you have some people who assist you in this area. So maybe just talk about sort of your staff and what you're doing on a daily basis to get things rolling here.",Director of Psychology and Wellness at U.F. Vice Department since 2015; Department's growth due to the director's role being valuable and needed; Staff assistance in the area of Psychology and Wellness; Daily activities of the staff to manage the department's operations,The director's role is essential for the department's growth and success; The staff's daily tasks are critical to maintaining the department's operations
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,". Yeah. It has grown since 2015. And that's not unique to Utah. I think if you look across the country, particularly at D1 and Power 5 schools, all of us have at least one psychologist or mental health professional in a position either in athletics or within the campus that's working with student athletes. It's a unique population. It requires some cultural competence to understand elite athletes and family systems and multicultural issues and power issues related to coaching and elite athletes. And so a lot of schools have noticed that. And then when it comes to the mental health of these athletes, they're just in some ways they have similar concerns as the general student, but they also have all the pressures of elite athletic demands. And so with each year almost, it seems like we either add an intern or we add another psychologist. So right now we have three psychologists, including myself in 2020. And that took some work in terms of building up a respect for psychology and wellness within the staff in terms of its added value to the department, with the coaches its added value to the performance of these athletes, to their thought-of-line of having a strong team. And we've incorporated psychology interns to train with us, folks who want to become psychologists in sport and elite performance. And right now we have two interns and three psychologists. So and we're multicultural in scope and in practice and in ethnicity and gender. So we really mirror, if you will, the student athlete population, which is important.","Mental health professionals (psychologists) are present in D1 and Power 5 schools, supporting student athletes in athletics and campus settings.; The need for cultural competence to address multicultural, power, and family system issues in elite athlete care.; Increasing reliance on interns to train as sport psychologists, with current numbers of 2 interns and 3 psychologists.; Integration of psychology into coaching and team performance to enhance athlete wellness and outcomes.; Multicultural representation in both practice and staff to mirror the student athlete population.",The growing demand for mental health services among elite athletes necessitates expanded professional support.; The importance of cultural competence in addressing the unique challenges faced by student athletes.; The role of psychology in not only mental health but also in enhancing athletic performance and team dynamics.; The assumption that ongoing training and mentorship for interns are critical to sustaining the effectiveness of mental health services.; The expectation that mental health support will continue to evolve alongside the demands of elite athletic training.
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"It sure is. And from what I've heard as much as your staff is growing, it's almost not big enough with the bands you and your staff are facing. We'll get into more of that just a bit. But Jonathan, looking at your background, you worked at three universities and counseling at Duke and UNC Greensboro. And also at the U of U from 2010 to 2015 before transferring to athletics. You know, I know you're an avid triathlete and compete yourself. Was getting into athletics and working with collegiate student athletes always sort of your goal when you got into this profession. Well",Jonathan's background in three universities and counseling at Duke and UNC Greensboro; His experience at the University of Utah from 2010 to 2015 before transferring to athletics; His involvement as a triathlete and competitive athlete; His goal to work with collegiate student athletes,Jonathan's background in universities and counseling aligns with his career goals in athletics; His passion for athletics and triathlon is linked to his professional aspirations
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,", I mean, it wasn't the initial goal, but just working with college student mental health. The age of 18, if you will, the 24 and graduate students. That's always been kind of my area of specialty, if you will. And then because of some of my interests in just athletics, my background in athletics, my current just interest in running and the triathlons, it just was always interested in working with athletes. And so I kind of shifted over to the athletic department specifically. But I've always loved working at University of Utah. Universities just more generally have been where I think most helpful. I also teach in the College of Social Work, teach graduate students. So I just kind of, it's kind of a home. Grew up in Salt Lake, so being at the University of Utah very much fits the trajectory that I was helping to be on. And I like college sports probably more so than professional.",Shift from initial goals to working with college student mental health; Background in athletics and interest in running/triathlons leading to focus on athletic departments; Love for University of Utah as a professional and personal fit; Teaching roles in College of Social Work and graduate studies,University of Utah's location in Salt Lake City aligns with the speaker's upbringing and career trajectory; Teaching roles in social work and graduate studies are a natural extension of their academic and athletic interests; The speaker's passion for college sports and running is linked to their decision to work in the athletic department
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"'s been interesting at the U especially. And I know our move to the Pat 12 has increased our budget, which has been great. But I think the departments all over the country, as you mentioned, are looking to find ways to take better care of the student athletes, whether it's nutrition or strength and conditioning or training, sports medicine. And mental health is part of that. And so I think at the U of U, you know, just kind of the general trim plus the increase in funding and really elevating everything with the moods of Pat 12 has led to tremendous growth in your area. You know, but just in general terms, you know, what is it that you see going on? You mentioned the high school level and the various areas. Why there's been such an explosion of growth in psychology and wellness and mental health as we let the developed athletes. And it's really happened to last five or 10 years. What's led to that in your opinion? Yeah, well","Increased budget from the move to Pat 12 has led to better resources for student athletes; Focus on nutrition, strength and conditioning, sports medicine, and mental health for student athletes; Growth in psychology and wellness areas over the past five to ten years; Strategic investment in mental health and wellness as part of broader improvements at the University of Utah",The university's leadership has prioritized mental health initiatives despite previous challenges; The expansion of psychology and wellness programs is tied to long-term strategic planning; The 'moods of Pat 12' refer to a leadership approach that emphasizes holistic student athlete care; The budget increase has enabled the allocation of resources to support multidisciplinary student athlete programs
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,", you know, if I can't answer that just in a minute, but I would be remiss if I did mention that, you know, with respect to the funding changes and moving into a bigger conference like the Pat 12, I mean, I do want to give quite a bit of credit to sort of the administration who had the forethought. I think there have been some established psychology, sports psychology, you know, programs in the country, but they're kind of few and far between. They're more consistent now, but back in 2015, when you think of the awareness of, you know, Dr. Chris Hill, our previous athletic director and Kyle Brennan, and then my direct boss, known to Richardson, I think I was her first hire as a senior woman administrator","Funding changes and moving into a bigger conference (Pat 12); Credit given to the administration for establishing psychology and sports psychology programs; Current state of these programs being more consistent; Mention of past administrators (Chris Hill, Kyle Brennan, and the speaker's first hire as a senior woman administrator)",The existence of fewer established psychology and sports psychology programs in 2015; The administration's decision to move into a bigger conference (Pat 12); The speaker's role as a senior woman administrator in the organization
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"know, to bring in someone who could at least, I mean, if it wasn't me, it would have been someone else, just someone who could manage some of the mental health needs because they were just increasingly getting more and more demanding of all the staff and people were starting to, as untrained mental health professionals, try to manage situations that have a medical flavor to it. And then, so that was really some good forethought. And then with the retirement of Dr. Chris Hill and then Mark Harlan coming on board, I mean, just since he's been our head, I mean, he's hired two more psychologists. So it started with Chris, as now with Mark and Kyle and known as still here. So I think it's sort of that building and they will come. I mean, as we've had an office and we are in the athletic department, you know, athletes really don't like visitors very much. They like people in their community that can help them and",Need for a mental health professional to manage increasing demands on staff; Retirement of Dr. Chris Hill and hiring of Mark Harlan and Kyle; Hiring of two more psychologists to address mental health needs; Importance of community-based support for athletes in the athletic department; Establishment of a structured mental health support system,Current staff cannot manage the growing mental health demands; New hires (Mark Harlan and Kyle) will effectively address the needs; Athletes prefer community-based support over external visitors; The athletic department's location influences visitor perception; The proposed system will gradually implement and improve over time
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"that respect what they do from 5 a.m. workouts to 10 p.m. you know, studying. So I think that being in the department and growing the staff has allowed more and more of them to come out and be open with us. But some say that the health and wellness of our student athletes has always been a concern, but not until we had an actual office, would they start to come out and talk about their stuff? And if you look at research on just mental health statistics across decades, I mean college students do tend to struggle with the same concerns each year of anxiety and depression and challenging relationships and I'm measuring up to standards and it's just come to, you know, complicated with student athletes. So you could think that it's always kind of been there and some of our coaches who used to be athletes, they wonder themselves like, was it always this much of a problem?","The importance of respecting student athletes' work hours (5 a.m. to 10 p.m.); The role of a dedicated health and wellness office in fostering open communication; Research on mental health statistics among college students (anxiety, depression, relationships); The complexity of mental health challenges in student athletes over time; Coaches' reflections on whether mental health concerns have always been a problem",Student athletes have historically faced similar mental health challenges; The problem with mental health of student athletes has become more pronounced with their specialization; Research on mental health trends supports the prevalence of anxiety and depression among college students; The presence of an office has enabled more transparency and discussion about athlete well-being
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,". You made some great points there. I want to get into as we dig into the meat of this conversation, but you're right. In terms of funding being available, it's one thing they have, but it's another thing to decide where to spend it and to make the decision",funding being available; deciding where to spend it and making the decision,funding is available
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"area by Dr. Chris Hill, by Mark Carlin and and owner Richardson that they've had some great foresight and really gained this thing going. And you know, it's not that there weren't people helping you, if you athletes before you arrived, Dr. Keith Tenchin was, you know, the pioneers in this profession. I've talked to several gymnasts going back to the 90s and under Greg Marsden, who who you utilize the services and felt it helped tremendously. So it's not as though it wasn't being done. It just wasn't being done to level that it is now by a number of people and having yourself and your staff embedded. As you said in the department, there's this level of trust, I think that's evolving. That has been a good thing. It's more just a drop by say hello and there's a couple level that maybe wasn't there before that's really helped. But obviously, Jonathan, your role has changed in the last eight to 10 weeks. Everyone's off campus and there's a lot of challenges with this current situation. But let's kind of go back to what your normal day was like before the past couple of months. You know, just talk about sort of the structure of your week in terms of appointments, just maybe trying to find a way to be around our student athletes and interact with them and pick up on things. What's kind of has been your normal workflow before this current situation crept up on us? Yeah,","Dr. Chris Hill, Mark Carlin, and Richardson acknowledge great foresight in the area they've worked on.; Previous professionals like Dr. Keith Tenchin and Greg Marsden helped athletes, with the impact being significant.; Trust and interaction levels have evolved, with a more structured approach to engaging with athletes.; The role of Jonathan has changed due to the current situation (e.g., athletes being off campus).; Normal workflow included regular appointments and engagement with athletes, but this has been disrupted.","There was a lack of consistent support or engagement with athletes prior to the current situation.; The current challenges (e.g., athletes off campus) have disrupted the normal workflow.; The evolution of trust and interaction is a positive development.; The role of Jonathan has shifted significantly in the past 8-10 weeks."
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"the normal workflow is, you know, each of my team, we have, you know, the other two psychologists and myself, our interns kind of work within some of our practice too. But each of us have specific sport teams we work with. I work with football and basketball and across my other psychologists work with their respective teams. And we basically just are doing our best to provide education, mental health, individual counseling to student athletes. It's all confidential. It's all free of charge. It's all readily available and accessible within their schedule. Our schedule would usually look like in the morning we would see clients for 30 minutes to an hour. Again, confidential working on anything from relationship distress, family concerns, grief to thoughts of not wanting to play their sport, thoughts of depression, lots of anxiety, you know, which is just excessive worry that keeps people up at","The team consists of three psychologists and interns working with student athletes across different sports teams.; Services include mental health education, individual counseling, and confidentiality for all sessions.; Sessions are 30-60 minutes long and cover issues like relationship distress, family concerns, grief, depression, and anxiety.; The team provides free, accessible mental health support within the athletes' schedules.","The team's approach is consistent and structured, with clear roles for each psychologist and intern.; Confidentiality is strictly maintained for all client interactions.; The team is committed to addressing a wide range of mental health concerns affecting student athletes.; The availability of services is prioritized to ensure timely and accessible support for athletes."
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"of ease and calmness throughout the day. So we work with that. We'd use things like mindfulness meditation. We'd teach kids how to calm their bodies. We'd show up to practice to, you know, also see them in their element and if they needed support. If the coaches need a support, we could give them any consultation on team stuff, concerns, and just kind of pop in and out of different offices to give consultation academics to touch base with strength and conditioning just because everyone's got their eyes and ears open to kids in distress and, you know, being around and available allows them to communicate their concerns to us. And we would always keep in confidence anything a student told us, but we can always take information from other staff if they're concerned about an athlete and then we might reach out to the athlete. So that's kind of how it looked. We don't do a lot of travel with the teams just because, you know, it's not as effective as just doing it while they're here in residence. And then we have multiple teams to work with. So it's kind of hard to just travel with one team.",Use of mindfulness meditation and techniques to calm bodies; Availability of coaches to support students in distress; Consultation and support for coaches in team-related matters; Confidentiality of student information; Avoiding travel for teams to maintain effectiveness; Multiple teams to manage with limited travel,Students will communicate their concerns to staff; Coaches will need support when required; Staff can consult on academic matters; The environment is supportive and available for communication; Teams are managed with consideration for their well-being
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,". It sure has. It sure has. You bring up a great point before I want to get to kind of the current situation, but you'll hear from people who have dealt with people dealing with mental health issues and they'll say, Hey, the individual, a lot of times doesn't want to come forward. There's astigmatism there's it's hard to initiate that and say, Hey, I've got a problem and eat some help. But the people around those individuals are the ones who oftentimes can get things started and and be the ones and say, Hey, I'm worried about you or go to someone like yourself and say, I'm worried about so and so if you can't maybe just talk about how that process works and maybe some success stories where it's been an individual who's come to you and said, Hey, you know, can you talk to so and so or I'm worried about them that sort of allergic to something and and you and your staff are able to help those those people in the end. Yeah","Individuals often avoid seeking help due to stigma and fear of judgment; Support systems (e.g., loved ones) play a critical role in initiating the process; Success stories demonstrate the effectiveness of helping others address mental health issues; The process involves both individual initiative and external support",People have the capacity to recognize and address their mental health needs; Support networks are available to assist individuals in seeking help; Professional staff can facilitate the process of connecting individuals to resources; There is a systemic framework in place to address mental health challenges
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,", unfortunately, we've come great lengths and when I was a kid and will probably be further along in the future, but just the idea of someone struggling internally in the quiet of their mind was something and just particularly in a culture like sports culture where it's just kind of, you know, grin and bear deal with it kind of, you know, wipe it off, get up, you're fine. Some of those messages are still being, you know, part of the sports culture and so when it comes to struggle, some of these kids have a hard time turning that off and they just try to, you know, not be weak or not show any signs of struggle. So when you have relationships with academic advisors and learning specialists, just all the staff who have relationships with these kids, if they can have their ears and eyes open for just evidence of decompensation or struggle or depression or just you're talking about academics and the kid starts to cry and it just gets really quiet and withdrawn. If they have those awareness of those signs and they can use their relationship as leverage, so to speak, to like, hey, would you just be willing to talk with UMA or Clank or Jonathan? And if they can get them in the door, we tend to be pretty good at keeping them because","The challenges of internal struggle in a sports culture that encourages stoicism and dismisses emotional difficulties; The need for academic advisors and learning specialists to recognize signs of decompensation (e.g., crying, withdrawal, academic decline); The importance of leveraging relationships with staff to encourage students to seek support (e.g., UMA, Clank, Jonathan); The effectiveness of systems in retaining students when they receive support","The persistence of sports culture messages that downplay internal struggles; The presence of students experiencing internal struggles that are not externally visible; The assumption that academic staff are capable of identifying and responding to signs of decompensation; The belief that support systems (e.g., advisors, specialists) are effective in engaging students when approached appropriately"
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"needs to know if it's more than that, if it's some depression, if it's, you know, abuse from their past, but, you know, sure, we're helping them with their game. But the thing is like sports affects mental health, mental health affects sports, so it's all intertwined and we have the luxury of being in athletics and being someone you can go to for mental performance, if you will. So that's helping. Some of the success stories involve a kid coming in, not even really knowing that they're struggling with something like anxiety. Think they're just, you know, not cut out compared to their peers or, and then helping them develop, you know, just a skill set to quiet their mind, to regulate their anxiety level, to be more calm in the face of challenge, which transfers onto the volleyball court, onto the softball field, football field, and then all of a sudden the performance goes up and they're, they're in all",The importance of addressing mental health in sports; The interconnectedness of sports and mental health; The role of sports in helping individuals develop mental resilience; The impact of mental health on athletic performance; The need to identify and address underlying issues like depression or abuse; The effectiveness of mental performance support in sports,Athletes are capable of developing mental resilience through sports; Mental health is a critical factor in athletic performance; Sports provide a supportive environment for mental health improvement; There is a correlation between mental health and athletic success; Supporting mental health in sports can lead to improved performance; Athletes may not be aware of their mental health challenges
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"'ve helped everyone from all Americans to people who, you know, struggle every day, but it makes sense to stay on the team, but they struggle with it. So it's not just the one not getting time in the game that comes to us, it's the one that wants to make the NFL and get even better mindset to deal with two interceptions in a row, for example",Players' mental challenges and the need to improve their mindset; The example of two interceptions in a row as a performance issue; The team's support for players despite struggles,The team is aware of players' mental struggles and is working to address them; Players are attempting to improve their mindset to handle performance pressures; The example of two interceptions is a hypothetical scenario illustrating challenges
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"step or to have someone nudge them to take that first step of visiting with Dr. Jonathan Raverina, who is the director of psychology and wellness for Utah Athletics. And you know, Jonathan, obviously everyone's world has changed. Everyone's workflow has changed the last eight to 10 weeks with the coronavirus shutdown. We went from having teams on the floor in Las Vegas at the men's basketball tournament on a Wednesday night to by Friday, we're shutting it down. And careers came to an end, even with seniors who have been given that extra year, some have already had jobs lined up, but they're just like, you know what, I'm at a point where I'm ready to be done. And even if you can't go back next year, you really can't go back and ever create what you lost. I mean, you know, 2020 will always be gone, no matter if you come back for 2021. So it's just been a crazy time for all of us to worry to keep hearing is unprecedented. And my thought is, well, there's no questions, unprecedented, it's almost at what level of this that, and this if that's a word it is, and it's really causing a lot of problems for a lot of people and just the suddenness of it, because it just kind of came upon us so quickly. You know, since mid March, I mean, student athletes have been sent home coaches who are used to being around their kids and their staff are working from home and they like being in control and having that interaction and they can't have it anymore except through telephone calls and zoom and text and email. It's really been a change for everyone. Jonathan, if you can't just talk about some of the challenges you've faced trying to help Utah athletes and coaches through the past couple of months. Yeah, Mike, it has",The unprecedented impact of the coronavirus on sports and workflows; Loss of careers for athletes and coaches due to shutdowns; Emotional and psychological challenges faced by athletes and staff; The suddenness of the shutdown and its abrupt transition to remote work; The need for support systems to cope with the loss of routines,"The shutdown was sudden and abrupt, with no prior preparation for remote work; Athletes and coaches are assumed to be struggling with the transition to remote interactions; The unprecedented nature of the situation is assumed to be causing significant stress and disruption; There is an assumption that support systems are lacking to address the emotional and psychological impacts"
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"you know, it's been very rapid and March was just at an accelerated rate that none of us could even catch up to April, kept a lot of that pace but slowed down a bit toward the end. It may feels a little bit different than April. And only to say we're human, we adapt. One of our greatest evolutionary traits is that we can be flexible with our mindset and understand the circumstances we're in and adapt. And athletes are the best at that. They're constantly having to adapt to different scores to get time. Now I don't get time to weather challenges in a game. So what we try to do is while also respecting that this is tough and difficult and unprecedented for everyone, we're also trying to remind these athletes that they do have the tools to deal with uncertainty. They have very strong mindsets. This is an opportunity to learn patience. The coach is in particular. I mean, they're out recruiting. They've been slowed down to a trickle in terms of some of the things they could do during these times. Some seasons were just like you said, ended","The rapid acceleration of the season with March being at an accelerated rate, followed by a slowdown in April; The need for athletes to adapt to changing circumstances and different scores to manage time; The importance of flexibility in mindset and understanding situational challenges; The role of coaches in adapting to unprecedented circumstances and maintaining recruitment efforts; The opportunity to learn patience and the availability of tools to handle uncertainty",The situation is unprecedented and challenging for everyone; Athletes possess strong mindsets and the ability to adapt to uncertainty; Coaches are impacted by the slowdown in recruitment and operations; Humans have the capacity to adapt and learn from challenging circumstances
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"'re right. Yeah. Totally. So in all of them, we're softball baseball. I don't want to cross. But it really just honoring the fact that some of these kids' seasons and careers were over that night or that day when everything changed. And then just the fact that these students were asked to go home and to not be around the teams to connect and these kids that connect like they really enjoy connecting. They do it a little different, mostly through social media, than some of us when we were younger where it was all just face to face. So in another way, this student population was a little bit prepared to deal with this distancing because they have these social media accounts that connected each other, but still very, very hard. And I think all of us have faced that. And my staff, we've had to adapt. We have had to create a whole telepsychology platform. We don't do Zoom meetings originally to do telemedicine and psychology. Research is pretty clear that the best form is to do it face to face in an office, sitting with them to pick up the nuances to demonstrate rapport or all that.",The importance of honoring students' seasons and careers ending due to the pandemic; The role of social media in maintaining connections among students during distancing; The need for telepsychology platforms to address mental health concerns; The challenges of maintaining relationships through digital means versus face-to-face interactions; The adaptation of staff to new communication methods,Students are using social media to maintain connections despite physical distancing; The pandemic necessitated a shift to telepsychology for mental health services; Staff members have had to implement new platforms for remote communication; The pandemic's impact on student-athlete relationships requires significant adaptation; The effectiveness of telepsychology depends on in-person rapport-building
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"to adapt. We can't just not provide services. And we reached out to people and we've maintained case loads throughout this and new case loads. A lot of these kids have struggled going back home. Home is not a real lovely place for some. And for others, it's what they've wanted for months and months is to just be back with their families and a little bit of a creep from all this stress. So every situation is different, Mike. And now we're going to deal as everyone kind of slowly comes back, hopefully, what it's like to re-aclimatize and get back into this intense schedule, which is the life of a student athlete. There's",Maintaining case loads despite challenges; Reaching out to people to support service continuity; Addressing the struggles of students returning home; Acknowledging the intensity of the student athlete schedule,
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"s about what's ahead of us. There's some things you go through and you say, well, there's an end inside and we know how it's kind of going to end and what it's going to be like when we get there. And with this thing, so many unknowns, like I said, that's really, I think is multiplied the anxiety level within people on just a number of unknowns. You want to think you mentioned me, Jonathan, I've always felt this as well as personal relationships are so valuable. And it's one thing to email back and forth or even talk over the phone, but to sit down with someone in person and sense where they are and body language and really kind of connect with someone. Like you said, you have lost that aspect of what you do. At the same time, you're trying to get an accurate assessment of where people are and help them. How challenging is that aspect of this bend for you the past couple of months? It has",The anxiety caused by unknown future events and the challenges of assessing people's situations; The value of in-person interactions over digital communication for building connections; The difficulty of maintaining accurate assessments of others' well-being while navigating uncertainty,The importance of personal relationships in navigating uncertainty; The necessity of in-person connections for accurate emotional and social assessment; The existence of unresolved challenges in balancing personal and professional relationships amidst uncertainty
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"to continue to reach out to people who have been in current, you know, work with us in terms of therapy clients, some people who might have been in the past working with us. We want to check in with them again. How are you doing? And then kids who've never had, sort of speak, mental health concerns, we don't want to assume they're fine. And so just kind of reaching out to people but also not bugging them, you know, or assuming that they're not going to be able to handle this. But a lot of normalizing of it is hard. And, you know, we'll prefer when they come back to meet with them in person. I jump on a lot of team meetings, sort of by request of coaches or I just kind of invite myself, sort of speak, you know, just to check in with the athletes and just normalize, normalize, normalize. And the more I have relationships with these kids, they're better able to be like, hey, can I touch base with you? And then all of a sudden I learn, you know, they haven't slept for two days and wow, you know, and they're struggling more than anyone would know, because it's hard for an athlete to tell their coach of struggling because in their mind, even if it's not accurate, and our coaches are great, in terms of not stigmatizing mental health and knowing that if someone sees us in our office, it doesn't mean they're weak or they're fragile or incapable. They're just going through a hard time, just like our coaches go through our time. So, but the athlete is thinking, you know, if I tell my coach, I'm struggling, he may not start me or she may not bring me on this road trip. And I don't want that to happen. So I'll just, you know, grin and bear it. So that's where the confidentiality piece of our work and having a relationship where we can sit down with them and just give them a space for them to be authentic and real, whatever that looks like.",Reach out to existing therapy clients and former clients to check in on their well-being; Normalize mental health discussions by avoiding assumptions about a person's current state; Prioritize in-person meetings to build trust and provide a safe space for openness; Emphasize the importance of confidentiality and authentic communication; Acknowledge the challenge of normalizing mental health struggles in a sports context,"Athletes may be struggling but are hesitant to openly discuss their issues with coaches; Coaches are capable of supporting athletes without stigmatizing mental health challenges; Athletes may not feel comfortable sharing their struggles due to fear of judgment or repercussions; The speaker assumes that mental health challenges are real and require support, but must be approached carefully"
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,". And then let's figure it out. Do you feel comfortable to tell your trainer, would you want to talk to your parents about this? Do you think you could talk to your coach? And we just follow their lead and we don't get put on pressure by administration or any of the coaches like, tell me, what do you think about this or that? It's, they just respect that we have a, we have a piece to the puzzle. And we want these kids to be healthy and well and success and wins usually come after that","Discussing options to talk to trainers, parents, or coaches; Emphasizing autonomy and not being pressured by administration or coaches; Prioritizing health and well-being over immediate success; Respecting the individual's role in the puzzle of success",The individual is comfortable discussing with trainers and parents; Coaches respect the individual's autonomy and decision-making; The focus is on long-term health and well-being over immediate results
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"They sure do. You know, working around college athletes and coaches, as long as I have, obviously, to get to this point, they've had success. And I think when you do things in the F success, you know, those, those two things go together and you kind of feel like I've got control over things and you feel like I have confidence in my ability to control things. And",Success in working with college athletes and coaches; The connection between F success (assumed to refer to FBS or similar athletic success) and control; Feeling of control and confidence in managing outcomes,Success in athletic endeavors is directly linked to the ability to control outcomes; The speaker's confidence in managing situations is tied to their perceived effectiveness; The relationship between F success and control is a mutual or inherent aspect of their role
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"after loss, Jonathan, there's this mentality that, well, there's always the next game where there's always tomorrow or there's another practice or another game. And if the end is in sight, whether you're a senior in your final week and you're an NCAA tournament action and you know, okay, if we lose this game, our team's done, I'm done. You normally see the end coming and with this situation, the end came and none of us really saw it coming. So I","The mentality of not giving up after a loss, focusing on the next game or practice; The belief that the end (e.g., tournament exit) is still in sight; The realization that the end came suddenly and was unforeseen by the team; The importance of maintaining hope even in the face of defeat","The team was in a critical situation, such as the final game or NCAA tournament; The loss was perceived as the end of their season or opportunity; The team did not anticipate the suddenness of the end; The psychological impact of the loss was significant and immediate"
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"just honored it in terms of like help them look at it like to a grief model, you know, like you're grieving the loss of something, which is your sport and how you wanted that to go. What's interesting is if it happened to just one team, it would be probably worse than it happened to the entire country. Okay",grief model; loss of a sport; comparison between one team and the entire country; emotional impact of loss,the loss of a team affects more people; a grief model is necessary to analyze the situation
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"of like we're all going through this. So it's not like just one team was lifted and not allowed to perform anymore or suspended your seasons over. It's every single athlete in our department. So there was a level of like normalization and universality to this that I think helped in some ways. And everyone just needed to recognize that, you know, almost being, you know, fortunate that wow, like, we've got to play at least one game of the Pac-12 tournament or like how far we got this season with gymnastics or, you know, there was a level of just gratitude for what we were able to do. But initially there was a lot of just sad student athletes. And we looked at it through the model of like grief and loss. You weren't ready to be done. And this was unexpected loss in your life and that makes sense that you have tears and or you're angry or you don't know what to do and you're just mad. Or maybe you think this was an overreaction because you just can't wrap your mind around the enormity of campus's closing, MBA closing, Olympics post-pawn. I mean, this is","Normalization and universality of the situation affecting all athletes in the department; Gratitude for achievements like the Pac-12 tournament and gymnastics; Initial sadness and emotional responses (tears, anger, confusion) among athletes; Model of grief and loss as a framework for understanding the impact of the closure",The situation is widespread and affects all athletes in the department; The loss is unexpected and has a significant emotional impact; Athletes are naturally affected by the closure and may struggle to process the loss; The model of grief and loss is applicable to this context
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_02,"'re all in this together and that's been voiced so many different ways through the media and just conversation with people. And yes, we're all in this together. Whether you live in Utah or New York or California, it's different. Some spots, but we're all in this together. And that's really, I think it's helped everyone cope is you have conversations, whether you're an athlete or a coach or someone who's an accountant to is now working for home. But the other thing that's happened to all of us is this loss of routine. And I think there's a difference in routine for everyone. And that's been taken away. Have you found that to be a major challenge for the people you deal with the past couple of months? It's an","Unity and shared experience despite geographical differences; Importance of conversations across various professions (athletes, coaches, accountants, etc.) in coping; Loss of routine as a challenge for individuals with varying levels of adaptability",People are still connected through communication and shared values; Routines are being disrupted by the pandemic's impact; Conversations and community support are essential for coping with changes
Utes Insider – Jonathan Ravarino on Mental Health,SPEAKER_05,"enormous challenge. I mean, one of the common things happening was particularly our student athletes. I'm sure some of this parallels us as adults in terms of like the coaching staff and the staff more generally. But when you have an entire day planned out and you know where you're going at 5.30 at dining at noon, when practices, when study hall is, you just kind of on automatic pilot, you go to these places and you do your thing. At the end of the day, you've done tremendous amount of working now. You had really good food. You had great study sessions. And now you just want to socialize. And then you put these kids away from all that. I mean, there was a lot and there probably still is just some lack of motivation, like not sure what to do,","Structure of the day with specific times for practices, study hall, and dining; Balancing work, study, and socializing; Lack of motivation and unclear purpose; Comparison to adult experiences with coaching staff and staff roles",The structure of the day (planned times) is a key factor in the athletes' routine; The coaching staff and staff roles are similar to those of adults; The lack of motivation is a persistent issue among the athletes
