pair_id,category,episode_id,source_path,source_turn_id,source_turn_idx,future_horizon,true_future_turn_id,true_future_turn_idx,true_future_turn_move_label,source_word_count,source_tail_word_count,explicit_count,assumption_count,all_assumption_count,history_turn_count,context_explicit_count,context_assumption_count,original_boundary_verified,source_original_turn_indices_json,true_next_original_turn_indices_json,candidate_count,candidate_pool_complete,candidate_pool_sha256,coverage_drop_reason,available_conditions_json
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11:12:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,Assert / Elaborate,111,102,9,3,8,3,26,12,True,[19],[20],25,True,ad180af8cd31a2967e843128b28ee3ff3b1ef8adc81c1e5926477bafdca7fc12,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11:14:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,3,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:14,14,Assert / Elaborate,111,102,9,3,8,3,26,12,True,[19],[22],25,True,a61d9293fdb890a9b2ca2fbb3114e28a7755a18a384426409cd24d42f569f42b,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12:13:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,Assert / Elaborate,92,92,6,3,6,3,28,12,True,[20],[21],25,True,7f81cb3edaac12b4a22ed4180d834f81fb5c4a3e9ace2bab875ca998981b929b,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13:14:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:14,14,Assert / Elaborate,97,97,7,3,5,3,31,12,True,[21],[22],25,True,ffde1a4bb98c1fb448f8e5a0585226163ccc662f388a8709ecc4070971e25d5e,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:0:1:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:0,0,1,business:0004__Bhang___Jamie_Pearson:1,1,Topic Shift,77,77,6,3,5,0,6,3,True,[0],[1],25,True,358a1be428cca943c9e8f4ac2bcef8363ed4955439248adcac7cf2f7b3ee5b6d,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:1:2:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:1,1,1,business:0004__Bhang___Jamie_Pearson:2,2,Assert / Elaborate,67,67,7,3,6,1,13,6,True,[1],[2],25,True,9a916b8d9f582c9e5ddc5c4c35918ebe49350786c4949f35cb65a27e6944e449,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:5:6:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:5,5,1,business:0004__Bhang___Jamie_Pearson:6,6,Assert / Elaborate,87,87,5,3,4,3,29,12,True,[7],[8],25,True,681487d9babfe40f976c0d4e8387f1d6cad617b247df5f9cc19d6595249d2ac1,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:7:8:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:7,7,1,business:0004__Bhang___Jamie_Pearson:8,8,Assert / Elaborate,124,105,10,3,10,3,35,12,True,[11],[12],25,True,7882531d6dd67f92f8303ad06b629d8c98227797ca2d0b0698fb7a3bf568caba,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0007__Talaria_Transportation___Ari_Raptis:5:6:h1,business,0007__Talaria_Transportation___Ari_Raptis,data_cleaned/conversation_moves_labeled/business/0007__Talaria_Transportation___Ari_Raptis.json,business:0007__Talaria_Transportation___Ari_Raptis:5,5,1,business:0007__Talaria_Transportation___Ari_Raptis:6,6,Assert / Elaborate,61,61,5,3,5,3,29,12,True,[17],[18],25,True,01dcd98f61730596ce327827cb11f0cebe261f103eea23e3843a084086bd3c1e,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0007__Talaria_Transportation___Ari_Raptis:6:7:h1,business,0007__Talaria_Transportation___Ari_Raptis,data_cleaned/conversation_moves_labeled/business/0007__Talaria_Transportation___Ari_Raptis.json,business:0007__Talaria_Transportation___Ari_Raptis:6,6,1,business:0007__Talaria_Transportation___Ari_Raptis:7,7,Agree / Align,212,104,10,3,10,3,29,12,True,[18],[19],25,True,f780d2377863dab0fd1ef7ee7924a03006ce19a5027b144a57df8f8ad26151a4,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0008__Jay_Rush___Moose_Labs___MouthPeace:3:4:h1,business,0008__Jay_Rush___Moose_Labs___MouthPeace,data_cleaned/conversation_moves_labeled/business/0008__Jay_Rush___Moose_Labs___MouthPeace.json,business:0008__Jay_Rush___Moose_Labs___MouthPeace:3,3,1,business:0008__Jay_Rush___Moose_Labs___MouthPeace:4,4,Assert / Elaborate,58,58,4,3,5,3,29,12,True,[21],[22],25,True,f5c822e28488c3850ea2e19aadc803a9b56b4fd744bfd773e4ed8e507abee81f,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0008__Jay_Rush___Moose_Labs___MouthPeace:4:5:h1,business,0008__Jay_Rush___Moose_Labs___MouthPeace,data_cleaned/conversation_moves_labeled/business/0008__Jay_Rush___Moose_Labs___MouthPeace.json,business:0008__Jay_Rush___Moose_Labs___MouthPeace:4,4,1,business:0008__Jay_Rush___Moose_Labs___MouthPeace:5,5,Assert / Elaborate,129,106,10,3,10,3,30,12,True,[22],[23],25,True,8c170c5d9a04df6d9fffcccb151279dfed93a1cbc44149b062e5dc2fe3d28c23,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001._Magic_Dust:0:1:h1,business,001._Magic_Dust,data_cleaned/conversation_moves_labeled/business/001._Magic_Dust.json,business:001._Magic_Dust:0,0,1,business:001._Magic_Dust:1,1,Assert / Elaborate,50,50,10,3,10,0,10,3,True,[0],[1],25,True,171e51cb0348c8db5dfc999221fc557296b5beb110d124c4f815cbdc576ad15c,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:2:3:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:2,2,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:3,3,Assert / Elaborate,160,106,8,3,8,2,28,9,True,[10],[11],25,True,6c2a43a46472accc9a9115e8ee356ee7f6861ef4af0b65e09d6a62004367253d,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:6:7:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:6,6,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:7,7,Assert / Elaborate,237,105,6,3,5,3,36,12,True,[20],[21],25,True,57bd86bd7c87f937aa11c60ef6f62214e3744a6967df0a3aef4677f26537244a,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:7:8:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:7,7,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:8,8,Agree / Align,125,108,8,3,6,3,34,12,True,[21],[22],25,True,cfea608d54f4a5d4871a402d96e2b6f51fd7491995a7c60667ec4135bc2f6c21,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:10:11:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:10,10,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:11,11,Assert / Elaborate,177,101,5,3,5,3,31,12,True,[30],[31],25,True,8506d3fcad1ee388be3481526d0e3a569ac17b6654c03002ea4c87acdfd0aaf9,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:10:13:h3,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:10,10,3,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:13,13,Assert / Elaborate,177,101,5,3,5,3,31,12,True,[30],[33],25,True,776bc40e8f0ee67d8b74cd428f516abcd3d4407d10eb8c987b30f91fc4c9b720,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:11:12:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:11,11,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:12,12,Clarification Request (Specific),237,105,10,3,10,3,33,12,True,[31],[32],25,True,aa5da6ee904b8db424316d19f5e92b767abe9ee1c4285665330a2f0db9236487,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:12:13:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:12,12,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:13,13,Assert / Elaborate,137,104,5,3,6,3,30,12,True,[32],[33],25,True,cd3b494111243ccd818440f9f6fe2d9fde76f43f2e8532292951e7b5573fca93,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:18:19:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:18,18,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19,19,Assert / Elaborate,52,52,7,3,5,3,37,12,True,[44],[45],25,True,9fbe9da1b46305e873c384d45ab41bb3eeb76bc8e99ca1431a41fc5f25f542ea,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:18:21:h3,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:18,18,3,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21,21,Assert / Elaborate,52,52,7,3,5,3,37,12,True,[44],[47],25,True,5e7125381474d677b95b22bfd665ff2626fa05e1b0dd4fb5a710d51cc1080332,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19:20:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19,19,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:20,20,Clarification Request (Specific),247,103,10,3,10,3,37,12,True,[45],[46],25,True,d6df015991bb0f1c978617348e99ad19946cd1c32747b886d0e8d7a126b0af5c,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19:22:h3,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19,19,3,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:22,22,Assert / Elaborate,247,103,10,3,10,3,37,12,True,[45],[48],25,True,0f67800585a9063e263b214fe51a684643ad477f77a6a5b14e9a32d7f745797b,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:20:21:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:20,20,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21,21,Assert / Elaborate,85,85,8,3,7,3,35,12,True,[46],[47],25,True,a4d8ba344a6875a0c354352b974defd57e3a13663368f630094a6dfd6e0a3562,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21:22:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21,21,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:22,22,Assert / Elaborate,310,107,10,3,10,3,35,12,True,[47],[48],25,True,f0e98aa55947b088ea1f27f9067c03573c80a47dcf787f69a001a2a0d6766189,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:24:25:h1,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:24,24,1,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:25,25,Answer,145,107,8,3,5,3,33,12,True,[50],[51],25,True,518d02de142ff32879f50716170650949974916d1e05e46190059433552384c6,,"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
