pair_id,category,episode_id,source_path,source_turn_id,source_turn_idx,true_next_turn_id,true_next_turn_idx,true_next_turn_move_label,source_word_count,source_tail_word_count,explicit_count,assumption_count,all_assumption_count,history_turn_count,original_boundary_verified,source_original_turn_indices_json,true_next_original_turn_indices_json,candidate_count,candidate_pool_complete,candidate_pool_sha256,coverage_drop_reason,available_conditions_json
business:0004__Bhang___Jamie_Pearson:1:2,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:1,1,business:0004__Bhang___Jamie_Pearson:2,2,Assert / Elaborate,67,67,7,3,6,1,True,[1],[2],25,True,64bb01b9151550d6c30c33950518363a8e1a11950dfbfaeae48d060be8bbbfbe,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0004__Bhang___Jamie_Pearson:5:6,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:5,5,business:0004__Bhang___Jamie_Pearson:6,6,Assert / Elaborate,87,87,5,3,4,3,True,[7],[8],25,True,8315d6429559970be287533f4d617b20ab58490f80316fe9c4dbd1fa2baa5f1c,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0004__Bhang___Jamie_Pearson:7:8,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:7,7,business:0004__Bhang___Jamie_Pearson:8,8,Assert / Elaborate,124,105,10,3,10,3,True,[11],[12],25,True,20fda89d058e183b9ecfb5d8345a4e7a29c4a26df5f704d7e8d28ab3d5c1f602,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0007__Talaria_Transportation___Ari_Raptis:5:6,business,0007__Talaria_Transportation___Ari_Raptis,data_cleaned/conversation_moves_labeled/business/0007__Talaria_Transportation___Ari_Raptis.json,business:0007__Talaria_Transportation___Ari_Raptis:5,5,business:0007__Talaria_Transportation___Ari_Raptis:6,6,Assert / Elaborate,61,61,5,3,5,3,True,[17],[18],25,True,2ab74ed15073a0a915314178c5b77aa7bf3e6d5e0f11ad32a6fa97ef907efb44,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0007__Talaria_Transportation___Ari_Raptis:6:7,business,0007__Talaria_Transportation___Ari_Raptis,data_cleaned/conversation_moves_labeled/business/0007__Talaria_Transportation___Ari_Raptis.json,business:0007__Talaria_Transportation___Ari_Raptis:6,6,business:0007__Talaria_Transportation___Ari_Raptis:7,7,Agree / Align,212,104,10,3,10,3,True,[18],[19],25,True,34dfa26686da8f7e594ba8f52a9d9b4cad8b771044a9cd83a5976379915eb696,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0008__Jay_Rush___Moose_Labs___MouthPeace:3:4,business,0008__Jay_Rush___Moose_Labs___MouthPeace,data_cleaned/conversation_moves_labeled/business/0008__Jay_Rush___Moose_Labs___MouthPeace.json,business:0008__Jay_Rush___Moose_Labs___MouthPeace:3,3,business:0008__Jay_Rush___Moose_Labs___MouthPeace:4,4,Assert / Elaborate,58,58,4,3,5,3,True,[21],[22],25,True,7de6dfa4227e555759f4730b92a5c4dbf93d246882f9977c595badaaccc5c62a,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:0008__Jay_Rush___Moose_Labs___MouthPeace:4:5,business,0008__Jay_Rush___Moose_Labs___MouthPeace,data_cleaned/conversation_moves_labeled/business/0008__Jay_Rush___Moose_Labs___MouthPeace.json,business:0008__Jay_Rush___Moose_Labs___MouthPeace:4,4,business:0008__Jay_Rush___Moose_Labs___MouthPeace:5,5,Assert / Elaborate,129,106,10,3,10,3,True,[22],[23],25,True,9bcdc2bfedf524517b99a174fc51703d7faf17a8c3d66d6a68b4373d10a28209,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
business:001._Magic_Dust:0:1,business,001._Magic_Dust,data_cleaned/conversation_moves_labeled/business/001._Magic_Dust.json,business:001._Magic_Dust:0,0,business:001._Magic_Dust:1,1,Assert / Elaborate,50,50,10,3,10,0,True,[0],[1],25,True,dd19814bfb6687207e13230b155314e0ce36ba403b22bfd42899c618a8b6c319,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:2:3,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:2,2,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:3,3,Assert / Elaborate,160,106,8,3,8,2,True,[10],[11],25,True,90f04bed1d469908e727bae003347c803bc00d1b6b0d50eb9742d7add504d1c2,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:6:7,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:6,6,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:7,7,Assert / Elaborate,237,105,6,3,5,3,True,[20],[21],25,True,c6dd7a5bdfe9fd3110c3fc84c590dc34dc8b935326f3aad67ca83a9a9a6b4890,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:7:8,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:7,7,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:8,8,Agree / Align,125,108,8,3,6,3,True,[21],[22],25,True,d23ef3dc9b13fc5ef913578235f8313f67237e6c059fec0b77a596498edc73cc,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:10:11,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:10,10,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:11,11,Assert / Elaborate,177,101,5,3,5,3,True,[30],[31],25,True,e9728e3eb029505918ac7565cac446a71ea4c7bd4b23ba5527ac6037d33011af,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:11:12,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:11,11,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:12,12,Clarification Request (Specific),237,105,10,3,10,3,True,[31],[32],25,True,bb84bbf2947cd5b6a251eebce6d75cd1d12737ab05af92bb38785b828e0d1e61,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:12:13,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:12,12,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:13,13,Assert / Elaborate,137,104,5,3,6,3,True,[32],[33],25,True,aed4dbf7f1519bc3169d7b68665e3f59df8fe2af72bc10e403b0fb12cba7a75e,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:18:19,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:18,18,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19,19,Assert / Elaborate,52,52,7,3,5,3,True,[44],[45],25,True,9cdb59cfebccb226a5f803b88e8063898650341377a24fde64d3574392e9763a,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19:20,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:19,19,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:20,20,Clarification Request (Specific),247,103,10,3,10,3,True,[45],[46],25,True,8d51177bd00850d7435548c03aa21a89f91cf88689b2ce5ac0ff8cf3298ae60b,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:20:21,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:20,20,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21,21,Assert / Elaborate,85,85,8,3,7,3,True,[46],[47],25,True,144f2a02d8ee1c69921630b4d32d955d8b5a6247fa1dc1e3f8b793c577c70cf2,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21:22,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:21,21,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:22,22,Assert / Elaborate,310,107,10,3,10,3,True,[47],[48],25,True,a365be633a0a1bafbfa2ece33cc440b6903cba6d10945983cc7887bd00bc0cf8,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:24:25,commentary,0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF,data_cleaned/conversation_moves_labeled/commentary/0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF.json,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:24,24,commentary:0014_-QUALITY_CONTENT_W__SIMON_LUCKHOFF:25,25,Answer,145,107,8,3,5,3,True,[50],[51],25,True,63e7adfc89ee75573ee361ad0e0eb46abaaf698a56870faf6ac2407a64c107f9,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:1:2,commentary,004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo,data_cleaned/conversation_moves_labeled/commentary/004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo.json,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:1,1,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:2,2,Clarification Request (Specific),68,68,5,3,5,1,True,[3],[4],25,True,3d8c2227ceb9337024b59d66d135b39062f52d69435cd921b67f38c31767ac6f,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:4:5,commentary,004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo,data_cleaned/conversation_moves_labeled/commentary/004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo.json,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:4,4,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:5,5,Agree / Align,151,100,7,3,7,3,True,[8],[9],25,True,54170b958c905db013e25cc5285e635a46e2867d33fc07bb30663d9555465a4d,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:5:6,commentary,004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo,data_cleaned/conversation_moves_labeled/commentary/004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo.json,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:5,5,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:6,6,Assert / Elaborate,79,79,4,3,5,3,True,[9],[10],25,True,66060ca37c2c1bfcbde2a80a10e58c68f94516838dea0395d7ea6b63b408a34f,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:6:7,commentary,004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo,data_cleaned/conversation_moves_labeled/commentary/004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo.json,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:6,6,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:7,7,Assert / Elaborate,138,107,6,3,6,3,True,[10],[11],25,True,3847d91518dca435283756fd98dc671c99878078caefcfd41139fec8d4754eb5,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:7:8,commentary,004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo,data_cleaned/conversation_moves_labeled/commentary/004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo.json,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:7,7,commentary:004_-__Dance_Floor_Anthem__I_Don_t_Wanna_Be_In_Love__x_Angela_Mastrogiacomo:8,8,Assert / Elaborate,83,83,4,3,4,3,True,[11],[12],25,True,32ec1d60f0d0dc1280fc23d9f80fde65d32ee083ce425bc651124e7be976ecc8,,"[""raw_turn"", ""raw_turn_with_history"", ""raw_turn_plus_assumptions"", ""explicit_only"", ""explicit_plus_top3_assumptions"", ""explicit_plus_shuffled_assumptions"", ""explicit_plus_wrong_episode_assumptions""]"
